,NSW - hol - city,NSW - hol - noncity,VIC - hol - city,VIC - hol - noncity,QLD - hol - city,QLD - hol - noncity,SA - hol - city,SA - hol - noncity,WA - hol - city,WA - hol - noncity,TAS - hol - city,TAS - hol - noncity,NT - hol - city,NT - hol - noncity,NSW - vfr - city,NSW - vfr - noncity,VIC - vfr - city,VIC - vfr - noncity,QLD - vfr - city,QLD - vfr - noncity,SA - vfr - city,SA - vfr - noncity,WA - vfr - city,WA - vfr - noncity,TAS - vfr - city,TAS - vfr - noncity,NT - vfr - city,NT - vfr - noncity,NSW - bus - city,NSW - bus - noncity,VIC - bus - city,VIC - bus - noncity,QLD - bus - city,QLD - bus - noncity,SA - bus - city,SA - bus - noncity,WA - bus - city,WA - bus - noncity,TAS - bus - city,TAS - bus - noncity,NT - bus - city,NT - bus - noncity,NSW - oth - city,NSW - oth - noncity,VIC - oth - city,VIC - oth - noncity,QLD - oth - city,QLD - oth - noncity,SA - oth - city,SA - oth - noncity,WA - oth - city,WA - oth - noncity,TAS - oth - city,TAS - oth - noncity,NT - oth - city,NT - oth - noncity
2008-01,3096.0,14493.0,2531.0,7881.0,4688.0,4390.0,888.0,2201.0,1383.0,2066.0,619.0,1483.0,101.0,86.0,2709.0,6689.0,2565.0,3428.0,3003.0,2287.0,1324.0,869.0,1019.0,762.0,602.0,748.0,28.0,9.0,1201.0,1684.0,1164.0,984.0,1111.0,982.0,388.0,456.0,532.0,874.0,116.0,107.0,136.0,80.0,396.0,510.0,181.0,286.0,431.0,271.0,244.0,73.0,168.0,37.0,76.0,24.0,35.0,8.0
2008-02,1479.0,9548.0,1439.0,4586.0,2320.0,3990.0,521.0,1414.0,1059.0,1395.0,409.0,689.0,201.0,297.0,2184.0,5645.0,1852.0,2255.0,1957.0,2945.0,806.0,639.0,750.0,603.0,257.0,266.0,168.0,349.0,2020.0,2281.0,1014.0,811.0,776.0,1448.0,346.0,403.0,356.0,1687.0,83.0,290.0,138.0,170.0,657.0,581.0,229.0,323.0,669.0,170.0,142.0,221.0,170.0,99.0,36.0,61.0,69.0,39.0
2008-03,1609.0,7301.0,1488.0,3572.0,4758.0,6975.0,476.0,1093.0,1101.0,2297.0,127.0,331.0,619.0,745.0,2225.0,5052.0,1882.0,1929.0,2619.0,2870.0,1078.0,375.0,953.0,734.0,130.0,261.0,390.0,84.0,1975.0,2118.0,1153.0,791.0,1079.0,2300.0,390.0,360.0,440.0,1120.0,196.0,107.0,452.0,1084.0,540.0,893.0,128.0,318.0,270.0,1164.0,397.0,315.0,380.0,1166.0,32.0,23.0,150.0,338.0
2008-04,1520.0,9138.0,1906.0,3575.0,3328.0,4781.0,571.0,1699.0,1128.0,2433.0,371.0,949.0,164.0,250.0,2918.0,5385.0,2208.0,2882.0,2097.0,2344.0,568.0,641.0,999.0,715.0,137.0,257.0,244.0,218.0,1500.0,1963.0,1245.0,508.0,1128.0,1752.0,255.0,635.0,539.0,1252.0,70.0,228.0,243.0,160.0,745.0,1157.0,270.0,336.0,214.0,535.0,194.0,260.0,410.0,1139.0,48.0,43.0,172.0,453.0
2008-05,1958.0,14194.0,2517.0,8441.0,4930.0,5117.0,873.0,2150.0,1560.0,2727.0,523.0,1590.0,62.0,151.0,3154.0,7232.0,2988.0,3164.0,2703.0,2933.0,887.0,798.0,1396.0,630.0,347.0,437.0,153.0,125.0,1196.0,2151.0,950.0,572.0,1192.0,1559.0,386.0,280.0,582.0,441.0,130.0,205.0,194.0,189.0,426.0,558.0,265.0,293.0,458.0,557.0,147.0,33.0,162.0,28.0,77.0,60.0,15.0,47.0
2008-06,1372.0,8468.0,1485.0,4356.0,3459.0,4629.0,481.0,1738.0,1909.0,1996.0,167.0,592.0,252.0,538.0,2376.0,4737.0,1556.0,1992.0,1911.0,2665.0,790.0,694.0,1001.0,907.0,250.0,375.0,139.0,88.0,1632.0,2036.0,1001.0,877.0,1759.0,1956.0,432.0,307.0,499.0,661.0,204.0,88.0,137.0,286.0,456.0,918.0,417.0,306.0,364.0,555.0,342.0,129.0,125.0,161.0,70.0,90.0,72.0,63.0
2008-07,1561.0,7704.0,1512.0,3592.0,3815.0,8738.0,477.0,1235.0,995.0,2734.0,247.0,495.0,760.0,758.0,2323.0,4865.0,1541.0,1848.0,2605.0,2791.0,881.0,680.0,881.0,914.0,169.0,181.0,287.0,60.0,1564.0,2890.0,944.0,601.0,1188.0,1458.0,453.0,277.0,614.0,934.0,181.0,193.0,246.0,170.0,422.0,709.0,255.0,267.0,935.0,1865.0,137.0,109.0,546.0,243.0,26.0,49.0,75.0,182.0
2008-08,1687.0,8740.0,1321.0,3453.0,3769.0,5883.0,590.0,1350.0,778.0,1954.0,307.0,633.0,235.0,418.0,2753.0,5951.0,1587.0,2079.0,1950.0,2863.0,822.0,636.0,755.0,602.0,116.0,259.0,30.0,28.0,1579.0,2214.0,1196.0,659.0,844.0,1286.0,345.0,162.0,582.0,1037.0,129.0,238.0,100.0,211.0,740.0,1607.0,169.0,358.0,640.0,703.0,400.0,251.0,299.0,568.0,34.0,56.0,145.0,217.0
2008-09,2769.0,13571.0,2294.0,7678.0,4824.0,5253.0,932.0,2350.0,2412.0,2719.0,557.0,1061.0,348.0,262.0,2559.0,6210.0,2852.0,2945.0,2350.0,2463.0,1368.0,929.0,986.0,659.0,313.0,329.0,123.0,198.0,1184.0,1780.0,1133.0,609.0,1171.0,1599.0,700.0,282.0,309.0,312.0,99.0,158.0,245.0,153.0,476.0,965.0,452.0,499.0,513.0,374.0,274.0,155.0,365.0,266.0,49.0,122.0,37.0,56.0
2008-10,1275.0,8522.0,1619.0,4139.0,3880.0,4684.0,427.0,1418.0,1158.0,2166.0,305.0,549.0,363.0,347.0,2320.0,4648.0,1854.0,2073.0,2011.0,2534.0,611.0,853.0,1076.0,742.0,216.0,325.0,81.0,86.0,1664.0,2005.0,1054.0,601.0,924.0,1437.0,438.0,467.0,613.0,601.0,61.0,149.0,167.0,409.0,265.0,948.0,154.0,572.0,298.0,249.0,348.0,84.0,212.0,299.0,33.0,47.0,41.0,45.0
2008-11,2459.0,7935.0,1288.0,3455.0,4229.0,6573.0,587.0,2012.0,610.0,2508.0,286.0,526.0,885.0,804.0,2289.0,4496.0,1536.0,1951.0,3035.0,2750.0,498.0,482.0,651.0,830.0,143.0,232.0,238.0,227.0,2096.0,1634.0,1275.0,574.0,1036.0,1884.0,582.0,389.0,545.0,581.0,178.0,144.0,218.0,175.0,509.0,956.0,345.0,339.0,511.0,1190.0,155.0,173.0,252.0,414.0,79.0,19.0,389.0,259.0
2008-12,2916.0,8320.0,1336.0,4102.0,3734.0,4953.0,610.0,1363.0,1455.0,1558.0,382.0,784.0,291.0,528.0,2710.0,5659.0,2051.0,2304.0,2182.0,2844.0,665.0,536.0,1145.0,988.0,241.0,389.0,37.0,83.0,2128.0,2109.0,1472.0,737.0,764.0,1965.0,719.0,482.0,840.0,1032.0,98.0,191.0,312.0,226.0,826.0,896.0,310.0,438.0,833.0,1039.0,215.0,147.0,163.0,390.0,56.0,17.0,114.0,170.0
2009-01,2030.0,12995.0,2899.0,8288.0,4522.0,5037.0,790.0,2248.0,1159.0,1977.0,573.0,1313.0,102.0,139.0,3219.0,5592.0,2327.0,2838.0,1871.0,3016.0,1174.0,699.0,1118.0,729.0,402.0,303.0,34.0,139.0,1542.0,1690.0,1240.0,522.0,672.0,1096.0,295.0,445.0,377.0,570.0,72.0,148.0,241.0,121.0,557.0,652.0,318.0,363.0,709.0,323.0,216.0,65.0,245.0,96.0,130.0,119.0,21.0,7.0
2009-02,1763.0,8176.0,1847.0,4261.0,3377.0,5088.0,430.0,1608.0,937.0,2667.0,364.0,740.0,616.0,376.0,2494.0,5823.0,1591.0,2163.0,2668.0,2278.0,599.0,731.0,878.0,583.0,202.0,214.0,60.0,67.0,1429.0,1919.0,1139.0,502.0,660.0,1639.0,394.0,306.0,595.0,767.0,88.0,118.0,165.0,645.0,845.0,931.0,424.0,337.0,429.0,719.0,210.0,256.0,457.0,62.0,60.0,128.0,84.0,58.0
2009-03,1383.0,7482.0,1327.0,3477.0,4545.0,6879.0,611.0,1104.0,999.0,2414.0,246.0,376.0,533.0,883.0,2788.0,5102.0,1921.0,1862.0,2506.0,3077.0,656.0,574.0,787.0,834.0,118.0,240.0,251.0,160.0,1753.0,1984.0,1417.0,658.0,1283.0,1710.0,452.0,356.0,628.0,816.0,114.0,185.0,270.0,262.0,387.0,568.0,434.0,445.0,717.0,774.0,300.0,179.0,233.0,283.0,11.0,48.0,116.0,331.0
2009-04,1517.0,8941.0,1517.0,3638.0,4892.0,5505.0,643.0,1529.0,830.0,1898.0,298.0,448.0,134.0,247.0,2287.0,5006.0,2634.0,2397.0,2058.0,2535.0,889.0,736.0,1111.0,831.0,163.0,310.0,69.0,67.0,1952.0,1783.0,1386.0,640.0,1110.0,1550.0,220.0,195.0,550.0,841.0,195.0,78.0,350.0,203.0,584.0,994.0,638.0,300.0,470.0,1288.0,345.0,247.0,459.0,1344.0,52.0,119.0,163.0,259.0
2009-05,1715.0,13271.0,2484.0,7171.0,5730.0,5333.0,648.0,2023.0,1747.0,2421.0,739.0,1432.0,86.0,88.0,2659.0,6232.0,2785.0,3250.0,2531.0,2485.0,947.0,781.0,1238.0,1065.0,287.0,356.0,71.0,118.0,1044.0,2071.0,1018.0,654.0,693.0,1297.0,466.0,182.0,550.0,1128.0,259.0,117.0,160.0,185.0,474.0,639.0,314.0,894.0,352.0,771.0,275.0,112.0,328.0,146.0,31.0,59.0,14.0,12.0
2009-06,1292.0,8180.0,1338.0,4062.0,3487.0,3836.0,492.0,1617.0,845.0,2003.0,255.0,588.0,299.0,605.0,2483.0,5463.0,1984.0,2615.0,1694.0,2171.0,1083.0,498.0,1142.0,896.0,132.0,272.0,118.0,25.0,1568.0,1988.0,882.0,558.0,1136.0,1272.0,378.0,380.0,287.0,1124.0,130.0,134.0,93.0,488.0,502.0,767.0,234.0,346.0,422.0,309.0,334.0,156.0,201.0,179.0,73.0,18.0,40.0,55.0
2009-07,1373.0,7668.0,1657.0,3008.0,4094.0,7459.0,607.0,1203.0,758.0,2333.0,205.0,339.0,452.0,657.0,2295.0,6134.0,1986.0,2105.0,2920.0,4004.0,1231.0,673.0,740.0,998.0,155.0,254.0,322.0,149.0,1859.0,2881.0,1303.0,921.0,1206.0,1805.0,295.0,543.0,723.0,876.0,566.0,120.0,132.0,368.0,633.0,984.0,394.0,513.0,559.0,1255.0,293.0,190.0,320.0,477.0,62.0,247.0,112.0,124.0
2009-08,1613.0,8972.0,1613.0,4093.0,4084.0,5512.0,533.0,1645.0,818.0,1833.0,309.0,714.0,197.0,854.0,2751.0,6484.0,2577.0,2573.0,2506.0,2541.0,718.0,845.0,1028.0,763.0,190.0,257.0,205.0,28.0,1354.0,2390.0,1086.0,937.0,1289.0,1389.0,370.0,479.0,487.0,1024.0,90.0,255.0,699.0,315.0,494.0,926.0,424.0,904.0,1311.0,899.0,229.0,199.0,582.0,688.0,102.0,29.0,208.0,248.0
2009-09,1619.0,12998.0,2537.0,6695.0,5937.0,4672.0,574.0,2177.0,1315.0,2573.0,603.0,1352.0,135.0,135.0,2784.0,6554.0,2439.0,3213.0,3289.0,3206.0,1218.0,1051.0,1511.0,1056.0,352.0,437.0,183.0,87.0,1601.0,1891.0,1237.0,663.0,683.0,1541.0,297.0,568.0,278.0,568.0,129.0,257.0,194.0,78.0,349.0,467.0,201.0,494.0,170.0,511.0,284.0,113.0,201.0,119.0,99.0,129.0,23.0,13.0
2009-10,1156.0,7759.0,1283.0,4332.0,2761.0,4631.0,493.0,1694.0,990.0,2165.0,393.0,876.0,307.0,369.0,2260.0,5286.0,2015.0,2997.0,2981.0,3094.0,699.0,1024.0,1082.0,673.0,279.0,335.0,189.0,96.0,1431.0,2084.0,1533.0,675.0,946.0,1322.0,476.0,368.0,419.0,697.0,170.0,84.0,106.0,273.0,604.0,857.0,281.0,313.0,536.0,441.0,332.0,124.0,254.0,63.0,253.0,169.0,59.0,104.0
2009-11,1051.0,7198.0,1122.0,3688.0,4043.0,7857.0,533.0,1229.0,878.0,2452.0,165.0,267.0,579.0,629.0,2334.0,5504.0,1768.0,2010.0,2638.0,3936.0,705.0,759.0,890.0,1329.0,122.0,191.0,201.0,90.0,1516.0,1928.0,1257.0,650.0,1418.0,1332.0,694.0,405.0,389.0,1037.0,152.0,161.0,97.0,176.0,407.0,897.0,272.0,424.0,468.0,1046.0,180.0,313.0,523.0,680.0,57.0,122.0,275.0,345.0
2009-12,1441.0,7713.0,1861.0,3353.0,4186.0,5672.0,352.0,1588.0,881.0,1972.0,377.0,796.0,259.0,218.0,2571.0,6316.0,2308.0,3176.0,2646.0,2696.0,757.0,830.0,1107.0,1177.0,222.0,667.0,114.0,96.0,1431.0,2296.0,839.0,640.0,835.0,1607.0,426.0,467.0,398.0,1300.0,160.0,95.0,163.0,363.0,429.0,718.0,254.0,362.0,421.0,1320.0,206.0,199.0,336.0,682.0,168.0,8.0,51.0,132.0
2010-01,1739.0,11614.0,1980.0,7621.0,4249.0,4741.0,673.0,2537.0,1361.0,2955.0,822.0,1569.0,140.0,90.0,2831.0,8033.0,2391.0,3905.0,3287.0,3212.0,1480.0,1103.0,1441.0,956.0,733.0,1016.0,76.0,104.0,1393.0,1932.0,967.0,575.0,1129.0,1042.0,480.0,370.0,211.0,624.0,75.0,205.0,329.0,190.0,293.0,746.0,320.0,433.0,460.0,268.0,181.0,187.0,353.0,190.0,101.0,98.0,29.0,12.0
2010-02,1336.0,7855.0,1378.0,4513.0,3505.0,4549.0,394.0,1724.0,802.0,1676.0,345.0,833.0,247.0,300.0,2702.0,6097.0,2212.0,2756.0,2557.0,2771.0,832.0,879.0,1168.0,772.0,263.0,401.0,379.0,74.0,1386.0,1562.0,1296.0,705.0,726.0,1442.0,513.0,378.0,568.0,769.0,215.0,131.0,74.0,245.0,367.0,596.0,339.0,448.0,260.0,537.0,229.0,125.0,316.0,236.0,74.0,44.0,40.0,40.0
2010-03,1456.0,7069.0,1376.0,3270.0,5062.0,7933.0,406.0,1275.0,823.0,3046.0,127.0,224.0,664.0,912.0,2029.0,5863.0,1786.0,2209.0,2327.0,4741.0,739.0,582.0,1172.0,885.0,113.0,236.0,254.0,318.0,1392.0,1955.0,1127.0,772.0,1098.0,2016.0,747.0,395.0,606.0,1146.0,169.0,184.0,202.0,189.0,281.0,898.0,153.0,369.0,683.0,870.0,245.0,154.0,241.0,677.0,38.0,24.0,126.0,186.0
2010-04,1339.0,7399.0,1588.0,3557.0,4144.0,4929.0,614.0,1261.0,884.0,1986.0,418.0,690.0,116.0,145.0,2683.0,6315.0,2075.0,2468.0,2878.0,2983.0,982.0,740.0,1007.0,797.0,259.0,451.0,533.0,41.0,1213.0,1796.0,937.0,746.0,1076.0,1178.0,357.0,398.0,587.0,1489.0,172.0,138.0,72.0,107.0,282.0,1893.0,322.0,278.0,696.0,847.0,378.0,327.0,442.0,823.0,66.0,32.0,139.0,144.0
2010-05,1930.0,13096.0,2298.0,7948.0,4793.0,5051.0,698.0,2175.0,1122.0,2447.0,757.0,1442.0,180.0,106.0,2431.0,7405.0,2992.0,3372.0,3488.0,3350.0,1356.0,868.0,1281.0,1016.0,460.0,658.0,80.0,54.0,1212.0,2356.0,869.0,423.0,675.0,1475.0,301.0,305.0,279.0,639.0,182.0,120.0,82.0,166.0,459.0,671.0,298.0,376.0,660.0,465.0,266.0,131.0,357.0,105.0,76.0,96.0,86.0,8.0
2010-06,1067.0,6745.0,1550.0,3305.0,3107.0,4444.0,502.0,1545.0,936.0,1951.0,200.0,541.0,379.0,447.0,2004.0,4802.0,1653.0,2210.0,2462.0,2485.0,552.0,562.0,1213.0,779.0,273.0,301.0,152.0,187.0,1110.0,1817.0,850.0,595.0,942.0,1266.0,215.0,260.0,608.0,891.0,160.0,131.0,156.0,160.0,410.0,978.0,245.0,240.0,499.0,640.0,215.0,109.0,326.0,250.0,31.0,49.0,91.0,39.0
2010-07,1073.0,7055.0,1484.0,3100.0,3974.0,7288.0,546.0,1223.0,856.0,2265.0,126.0,498.0,690.0,769.0,2101.0,4740.0,1769.0,1649.0,2661.0,2471.0,574.0,503.0,1408.0,804.0,239.0,235.0,440.0,149.0,1633.0,1874.0,1125.0,623.0,1176.0,1769.0,363.0,315.0,475.0,904.0,140.0,120.0,332.0,151.0,404.0,902.0,269.0,288.0,822.0,714.0,174.0,277.0,226.0,421.0,37.0,17.0,196.0,409.0
2010-08,1190.0,6419.0,1682.0,3278.0,3338.0,4859.0,603.0,1336.0,951.0,1551.0,335.0,546.0,110.0,220.0,2300.0,5168.0,1696.0,2050.0,2066.0,2817.0,633.0,746.0,1236.0,745.0,192.0,199.0,68.0,38.0,1318.0,1709.0,1177.0,935.0,914.0,2585.0,233.0,455.0,390.0,1264.0,178.0,113.0,144.0,132.0,691.0,841.0,462.0,308.0,789.0,831.0,388.0,227.0,340.0,385.0,50.0,53.0,49.0,59.0
2010-09,2010.0,12408.0,3364.0,7100.0,5049.0,4717.0,733.0,2249.0,1206.0,2150.0,763.0,1506.0,171.0,175.0,2927.0,6760.0,2326.0,3217.0,2756.0,3007.0,878.0,967.0,1302.0,870.0,310.0,482.0,86.0,357.0,1099.0,1472.0,642.0,615.0,1160.0,1447.0,293.0,300.0,254.0,950.0,124.0,150.0,71.0,135.0,899.0,660.0,525.0,337.0,167.0,450.0,176.0,176.0,203.0,139.0,36.0,236.0,50.0,25.0
2010-10,1463.0,8026.0,1618.0,3871.0,3246.0,4707.0,622.0,1751.0,914.0,1948.0,757.0,1035.0,266.0,553.0,2484.0,5567.0,2700.0,2492.0,2601.0,2858.0,838.0,554.0,1037.0,953.0,333.0,316.0,162.0,53.0,1321.0,1830.0,951.0,642.0,762.0,1637.0,447.0,382.0,546.0,1162.0,85.0,93.0,123.0,118.0,395.0,736.0,299.0,373.0,469.0,316.0,239.0,195.0,193.0,234.0,84.0,85.0,29.0,52.0
2010-11,1264.0,7734.0,1139.0,2916.0,3266.0,6839.0,390.0,1053.0,946.0,3130.0,210.0,334.0,864.0,853.0,1835.0,4962.0,1768.0,1819.0,2213.0,3546.0,554.0,494.0,847.0,717.0,167.0,355.0,404.0,70.0,1553.0,1909.0,1233.0,823.0,1366.0,1763.0,364.0,301.0,540.0,889.0,137.0,129.0,157.0,188.0,376.0,740.0,296.0,227.0,204.0,879.0,183.0,142.0,387.0,213.0,33.0,68.0,77.0,72.0
2010-12,1519.0,7733.0,1818.0,3470.0,4176.0,5733.0,551.0,1611.0,1228.0,2308.0,236.0,651.0,451.0,360.0,2501.0,5578.0,2055.0,2403.0,2223.0,3472.0,851.0,768.0,1241.0,937.0,133.0,198.0,160.0,238.0,1342.0,1817.0,1077.0,811.0,1313.0,1597.0,363.0,315.0,539.0,938.0,160.0,121.0,181.0,210.0,419.0,595.0,200.0,325.0,836.0,431.0,165.0,167.0,331.0,419.0,67.0,37.0,27.0,138.0
